year,species,var,nans_tot,nans_apr
1982,Vanessa atalanta,tmp,215,31
1982,Vanessa atalanta,cnt,177,31
1983,Vanessa atalanta,tmp,146,0
1983,Vanessa atalanta,cnt,89,7
1984,Vanessa atalanta,tmp,146,31
1984,Vanessa atalanta,cnt,142,31
1985,Vanessa atalanta,tmp,68,2
1985,Vanessa atalanta,cnt,69,3
1986,Vanessa atalanta,tmp,106,0
1986,Vanessa atalanta,cnt,103,0
1987,Vanessa atalanta,tmp,69,15
1987,Vanessa atalanta,cnt,85,15
1988,Vanessa atalanta,tmp,215,31
1988,Vanessa atalanta,cnt,215,31
1989,Vanessa atalanta,tmp,139,31
1989,Vanessa atalanta,cnt,215,31
1990,Vanessa atalanta,tmp,102,2
1990,Vanessa atalanta,cnt,172,0
1991,Vanessa atalanta,tmp,174,31
1991,Vanessa atalanta,cnt,215,31
1992,Vanessa atalanta,tmp,173,19
1992,Vanessa atalanta,cnt,184,31
1993,Vanessa atalanta,tmp,58,26
1993,Vanessa atalanta,cnt,57,31
1994,Vanessa atalanta,tmp,71,31
1994,Vanessa atalanta,cnt,104,31
1995,Vanessa atalanta,tmp,19,1
1995,Vanessa atalanta,cnt,42,0
1996,Vanessa atalanta,tmp,140,8
1996,Vanessa atalanta,cnt,157,7
1997,Vanessa atalanta,tmp,90,6
1997,Vanessa atalanta,cnt,81,0
1998,Vanessa atalanta,tmp,10,6
1998,Vanessa atalanta,cnt,5,5
1999,Vanessa atalanta,tmp,38,2
1999,Vanessa atalanta,cnt,27,0
2000,Vanessa atalanta,tmp,4,1
2000,Vanessa atalanta,cnt,0,0
2001,Vanessa atalanta,tmp,7,4
2001,Vanessa atalanta,cnt,8,5
2002,Vanessa atalanta,tmp,18,13
2002,Vanessa atalanta,cnt,18,14
2003,Vanessa atalanta,tmp,3,1
2003,Vanessa atalanta,cnt,3,0
2004,Vanessa atalanta,tmp,30,15
2004,Vanessa atalanta,cnt,27,15
2005,Vanessa atalanta,tmp,1,1
2005,Vanessa atalanta,cnt,1,0
2006,Vanessa atalanta,tmp,2,0
2006,Vanessa atalanta,cnt,2,0
2007,Vanessa atalanta,tmp,13,8
2007,Vanessa atalanta,cnt,16,13
2008,Vanessa atalanta,tmp,12,4
2008,Vanessa atalanta,cnt,5,0
2009,Vanessa atalanta,tmp,8,0
2009,Vanessa atalanta,cnt,6,0
2010,Vanessa atalanta,tmp,11,7
2010,Vanessa atalanta,cnt,3,0
2011,Vanessa atalanta,tmp,3,1
2011,Vanessa atalanta,cnt,7,0
2012,Vanessa atalanta,tmp,15,0
2012,Vanessa atalanta,cnt,3,0
2013,Vanessa atalanta,tmp,3,1
2013,Vanessa atalanta,cnt,6,2
2014,Vanessa atalanta,tmp,5,0
2014,Vanessa atalanta,cnt,5,0
2015,Vanessa atalanta,tmp,7,0
2015,Vanessa atalanta,cnt,6,0
2016,Vanessa atalanta,tmp,8,1
2016,Vanessa atalanta,cnt,6,0
2017,Vanessa atalanta,tmp,7,0
2017,Vanessa atalanta,cnt,6,0
2018,Vanessa atalanta,tmp,10,1
2018,Vanessa atalanta,cnt,9,2
2019,Vanessa atalanta,tmp,9,0
2019,Vanessa atalanta,cnt,7,0
2020,Vanessa atalanta,tmp,11,3
2020,Vanessa atalanta,cnt,7,0
1982,Inachis io,tmp,215,31
1982,Inachis io,cnt,177,31
1983,Inachis io,tmp,146,0
1983,Inachis io,cnt,89,7
1984,Inachis io,tmp,146,31
1984,Inachis io,cnt,142,31
1985,Inachis io,tmp,68,2
1985,Inachis io,cnt,69,3
1986,Inachis io,tmp,106,0
1986,Inachis io,cnt,103,0
1987,Inachis io,tmp,69,15
1987,Inachis io,cnt,85,15
1988,Inachis io,tmp,215,31
1988,Inachis io,cnt,215,31
1989,Inachis io,tmp,139,31
1989,Inachis io,cnt,215,31
1990,Inachis io,tmp,102,2
1990,Inachis io,cnt,172,0
1991,Inachis io,tmp,174,31
1991,Inachis io,cnt,215,31
1992,Inachis io,tmp,173,19
1992,Inachis io,cnt,184,31
1993,Inachis io,tmp,58,26
1993,Inachis io,cnt,57,31
1994,Inachis io,tmp,71,31
1994,Inachis io,cnt,104,31
1995,Inachis io,tmp,19,1
1995,Inachis io,cnt,42,0
1996,Inachis io,tmp,140,8
1996,Inachis io,cnt,157,7
1997,Inachis io,tmp,90,6
1997,Inachis io,cnt,81,0
1998,Inachis io,tmp,10,6
1998,Inachis io,cnt,5,5
1999,Inachis io,tmp,38,2
1999,Inachis io,cnt,27,0
2000,Inachis io,tmp,4,1
2000,Inachis io,cnt,0,0
2001,Inachis io,tmp,7,4
2001,Inachis io,cnt,8,5
2002,Inachis io,tmp,18,13
2002,Inachis io,cnt,18,14
2003,Inachis io,tmp,3,1
2003,Inachis io,cnt,3,0
2004,Inachis io,tmp,30,15
2004,Inachis io,cnt,27,15
2005,Inachis io,tmp,1,1
2005,Inachis io,cnt,1,0
2006,Inachis io,tmp,2,0
2006,Inachis io,cnt,2,0
2007,Inachis io,tmp,13,8
2007,Inachis io,cnt,16,13
2008,Inachis io,tmp,12,4
2008,Inachis io,cnt,5,0
2009,Inachis io,tmp,8,0
2009,Inachis io,cnt,6,0
2010,Inachis io,tmp,11,7
2010,Inachis io,cnt,3,0
2011,Inachis io,tmp,3,1
2011,Inachis io,cnt,7,0
2012,Inachis io,tmp,15,0
2012,Inachis io,cnt,3,0
2013,Inachis io,tmp,3,1
2013,Inachis io,cnt,6,2
2014,Inachis io,tmp,5,0
2014,Inachis io,cnt,5,0
2015,Inachis io,tmp,7,0
2015,Inachis io,cnt,6,0
2016,Inachis io,tmp,8,1
2016,Inachis io,cnt,6,0
2017,Inachis io,tmp,7,0
2017,Inachis io,cnt,6,0
2018,Inachis io,tmp,10,1
2018,Inachis io,cnt,9,2
2019,Inachis io,tmp,9,0
2019,Inachis io,cnt,7,0
2020,Inachis io,tmp,11,3
2020,Inachis io,cnt,7,0
