,species,year,count
0,Aglais urticae,1982,177
1,Araschnia levana,1982,177
2,Aporia crataegi,1982,177
3,Polygonia c-album,1982,177
4,Papilio machaon,1982,177
5,Inachis io,1982,177
6,Aphantopus hyperanthus,1982,177
7,Nymphalis xanthomelas,1982,177
8,Issoria lathonia,1982,177
9,Apatura ilia,1982,177
10,Vanessa cardui,1982,177
11,Nymphalis polychloros,1982,177
12,Nymphalis antiopa,1982,177
13,Vanessa atalanta,1982,177
14,Pararge aegeria,1982,177
15,Nymphalis xanthomelas,1983,89
16,Vanessa atalanta,1983,89
17,Issoria lathonia,1983,89
18,Pararge aegeria,1983,89
19,Aphantopus hyperanthus,1983,89
20,Inachis io,1983,89
21,Papilio machaon,1983,89
22,Apatura ilia,1983,89
23,Vanessa cardui,1983,89
24,Aporia crataegi,1983,89
25,Polygonia c-album,1983,89
26,Nymphalis antiopa,1983,89
27,Aglais urticae,1983,89
28,Nymphalis polychloros,1983,89
29,Araschnia levana,1983,89
30,Araschnia levana,1984,142
31,Aphantopus hyperanthus,1984,142
32,Nymphalis antiopa,1984,142
33,Inachis io,1984,142
34,Vanessa atalanta,1984,142
35,Papilio machaon,1984,142
36,Polygonia c-album,1984,142
37,Nymphalis polychloros,1984,142
38,Apatura ilia,1984,142
39,Aporia crataegi,1984,142
40,Nymphalis xanthomelas,1984,142
41,Aglais urticae,1984,142
42,Pararge aegeria,1984,142
43,Vanessa cardui,1984,142
44,Issoria lathonia,1984,142
45,Polygonia c-album,1985,69
46,Vanessa cardui,1985,69
47,Issoria lathonia,1985,69
48,Nymphalis polychloros,1985,69
49,Papilio machaon,1985,69
50,Nymphalis antiopa,1985,69
51,Aporia crataegi,1985,69
52,Inachis io,1985,69
53,Vanessa atalanta,1985,69
54,Aphantopus hyperanthus,1985,69
55,Nymphalis xanthomelas,1985,69
56,Pararge aegeria,1985,69
57,Araschnia levana,1985,69
58,Apatura ilia,1985,69
59,Aglais urticae,1985,69
60,Polygonia c-album,1986,103
61,Pararge aegeria,1986,103
