datetime,Day,Year,Cloud,L-1,L-2,L-3,L-4,L-5,L-7,L-8,Temp,Wind
1982-04-01,01.04,1982,0,,,,,,,,,W
1982-04-02,02.04,1982,0,,,,,,,,,W
1982-04-03,03.04,1982,1/2,,,,,,,,,NE-E
1982-04-04,04.04,1982,1/2,,,,,,,,,W-NW
1982-04-05,05.04,1982,0,,,,,,,,,NW-W
1982-04-06,06.04,1982,1/2,,,,,,,,,N-NW
1982-04-07,07.04,1982,1/2,,,,,,,,,E
1982-04-08,08.04,1982,1,,,,,,,,,SE-S-W
1982-04-09,09.04,1982,1/2,,,,,,,,,W-SW
1982-04-10,10.04,1982,1/2,,,,,,,,,W-SW
1982-04-11,11.04,1982,1/2,,,,,,,,,W-SW
1982-04-12,12.04,1982,3/4,,,,,,,,,W
1982-04-13,13.04,1982,1/2,,,,,,,,,W-NW
1982-04-14,14.04,1982,1/4,,,,,,,,,NW
1982-04-15,15.04,1982,1,,,,,,,,,SW
1982-04-16,16.04,1982,1/2,,,,,,,,,SW
1982-04-17,17.04,1982,1,,,,,,,,,SW-W
1982-04-18,18.04,1982,1/2,,,,,,,,,NW-N
1982-04-19,19.04,1982,1,,,,,,,,,NW
1982-04-20,20.04,1982,1/2,,,,,,,,,NW-N
1982-04-21,21.04,1982,1/2,,,,,,,,,NW-N
1982-04-22,22.04,1982,0,,,,,,,,,NW-N
1982-04-23,23.04,1982,0,,,,,,,,,NE-NW
1982-04-24,24.04,1982,1/2,,,,,,,,,NW
1982-04-25,25.04,1982,1/2,,,,,,,,,N-NW
1982-04-26,26.04,1982,3/4,,,,,,,,,NW
1982-04-27,27.04,1982,1/2,,,,,,,,,NW
1982-04-28,28.04,1982,1/2,,,,,,,,,SW
1982-04-29,29.04,1982,1/2,,,,,,,,,W-SW
1982-04-30,30.04,1982,1/2,,,,,,,,,S-SW-NW
1982-05-01,01.05,1982,1/2,,,,,,,,,SW-S
1982-05-02,02.05,1982,1/2,,,,,,,,,W-NW
1982-05-03,03.05,1982,1/2,,,,,,,,,SW-SE
1982-05-04,04.05,1982,1/2,0.0,,0.0,0.0,0.0,,,,SW-SE
1982-05-05,05.05,1982,1/2,0.0,,0.0,0.0,0.0,,,,NE
1982-05-06,06.05,1982,3/4,0.0,,0.0,0.0,0.0,,,,SE-W
1982-05-07,07.05,1982,1,0.0,,0.0,0.0,0.0,,,,NW
1982-05-08,08.05,1982,0,0.0,,0.0,0.0,0.0,,,,SW
1982-05-09,09.05,1982,1,0.0,,0.0,0.0,0.0,,,,SE-NE
1982-05-10,10.05,1982,1/2,0.0,,0.0,0.0,0.0,,,,NNE-N
1982-05-11,11.05,1982,1,0.0,,0.0,0.0,0.0,,,,NNE
1982-05-12,12.05,1982,1/4,0.0,,0.0,0.0,0.0,,,,N-NW
1982-05-13,13.05,1982,1/2,0.0,,0.0,0.0,0.0,,,,W-NW
1982-05-14,14.05,1982,0,0.0,,0.0,0.0,0.0,,,,NW
1982-05-15,15.05,1982,0,0.0,,0.0,0.0,0.0,,,,N-NW
1982-05-16,16.05,1982,0,0.0,,0.0,0.0,0.0,,,,W
1982-06-30,30.06,1982,,0.0,,0.0,0.0,0.0,,,,
1982-07-01,01.07,1982,1/2,0.0,,0.0,0.0,0.0,,,,W
1982-07-02,02.07,1982,1/2,0.0,,0.0,0.0,0.0,,,,W
1982-07-03,03.07,1982,1/2,0.0,,0.0,0.0,0.0,,,,E
1982-07-04,04.07,1982,3/4,0.0,,0.0,0.0,0.0,,,,W
1982-07-05,05.07,1982,1/4,0.0,,0.0,0.0,0.0,,,,W
1982-07-06,06.07,1982,1/2,0.0,,0.0,0.0,0.0,,,,W
1982-07-07,07.07,1982,1/2,0.0,,0.0,0.0,0.0,,,,W
1982-07-08,08.07,1982,3/4,0.0,,0.0,0.0,0.0,,,,W
1982-07-09,09.07,1982,0,0.0,,0.0,0.0,0.0,,,,W-NW
1982-07-10,10.07,1982,0,0.0,,0.0,0.0,0.0,,,,W-NW
1982-07-11,11.07,1982,0,0.0,,0.0,0.0,0.0,,,,N-NW
1982-07-12,12.07,1982,0,0.0,,0.0,0.0,0.0,,,,E
1982-07-13,13.07,1982,1/4,0.0,,0.0,0.0,0.0,,,,E-N-NW
1982-07-14,14.07,1982,1/2,0.0,,0.0,0.0,0.0,,,,E-NE
1982-07-15,15.07,1982,0,0.0,,0.0,0.0,0.0,,,,E-NE
1982-07-16,16.07,1982,0,0.0,,0.0,0.0,0.0,,,,E-NE
1982-07-17,17.07,1982,1/4,0.0,,0.0,0.0,0.0,,,,E-NE
1982-07-18,18.07,1982,1/2,0.0,,0.0,0.0,0.0,,,,N-NW
1982-07-19,19.07,1982,0,0.0,,0.0,0.0,0.0,,,,NW
1982-07-20,20.07,1982,0,0.0,,0.0,0.0,0.0,,,,NW
1982-07-21,21.07,1982,0,0.0,,0.0,0.0,0.0,,,,W
1982-07-22,22.07,1982,1/2,0.0,,0.0,0.0,0.0,,,,NW-W
1982-07-23,23.07,1982,0,2.0,,0.0,0.0,0.0,,,,W
1982-07-24,24.07,1982,0,0.0,,0.0,0.0,0.0,,,,W-NW
1983-04-01,01.04,1983,1,,,,,,,,6.0,N-NE
1983-04-02,02.04,1983,1,,,,,,,,11.0,NE
1983-04-03,03.04,1983,1/2,,,,,,,,12.0,NE-S
1983-04-04,04.04,1983,1,,,,,,,,6.0,SW-W
1983-04-05,05.04,1983,1,,,,,,,,10.0,N-SW
1983-04-06,06.04,1983,0,,,,,,,,10.0,SE
1983-04-07,07.04,1983,1/2,,,,,,,,10.0,SE-S
1983-04-08,08.04,1983,1/2,0.0,,0.0,0.0,0.0,,,8.0,SW-W
1983-04-09,09.04,1983,1,0.0,,0.0,0.0,0.0,,,4.0,W
1983-04-10,10.04,1983,0,0.0,,0.0,0.0,0.0,,,6.0,W
1983-04-11,11.04,1983,1,0.0,,0.0,0.0,0.0,,,4.0,E-S
1983-04-12,12.04,1983,1,0.0,,0.0,0.0,0.0,,,5.0,NE-N
1983-04-13,13.04,1983,3/4,0.0,,0.0,0.0,0.0,,,6.0,NW
1983-04-14,14.04,1983,1,0.0,,0.0,0.0,0.0,,,5.0,NW
1983-04-15,15.04,1983,3/4,0.0,,0.0,0.0,0.0,,,6.0,N
1983-04-16,16.04,1983,0,0.0,,0.0,0.0,0.0,,,10.0,N-NW
1983-04-17,17.04,1983,0,0.0,,0.0,0.0,0.0,,,8.0,SE
1983-04-18,18.04,1983,1/2,0.0,,0.0,0.0,0.0,,,7.0,SE-E
1983-04-19,19.04,1983,0,0.0,,0.0,0.0,1.0,,,6.0,SE
1983-04-20,20.04,1983,1/2,1.0,,0.0,0.0,0.0,,,7.0,SE-W
1983-04-21,21.04,1983,0,0.0,,0.0,0.0,0.0,,,6.0,W-NW
1983-04-22,22.04,1983,1/2,0.0,,0.0,0.0,0.0,,,8.0,NE-E
1983-04-23,23.04,1983,1,0.0,,0.0,0.0,0.0,,,10.0,NW
1983-04-24,24.04,1983,1,0.0,,0.0,0.0,0.0,,,9.0,NW-NE
1983-04-25,25.04,1983,1/2,0.0,,0.0,0.0,0.0,,,8.0,NE
1983-04-26,26.04,1983,1,0.0,,0.0,0.0,0.0,,,6.0,W
1983-04-27,27.04,1983,3/4,0.0,,0.0,0.0,0.0,,,7.0,NE
1983-04-28,28.04,1983,1/2,0.0,,1.0,0.0,0.0,,,9.0,SW-W
1983-04-29,29.04,1983,1/4,1.0,,0.0,0.0,0.0,,,10.0,SW-NE
1983-04-30,30.04,1983,1/2,0.0,,0.0,0.0,0.0,,,8.0,SW-NW
1983-05-01,01.05,1983,3/4,0.0,,0.0,0.0,0.0,,,12.0,SW-NW
1983-05-02,02.05,1983,1/2,0.0,,0.0,0.0,1.0,,,8.0,NE-NW
1983-05-03,03.05,1983,1/4,0.0,,0.0,0.0,0.0,,,12.0,NE-NW
1983-05-04,04.05,1983,1/2,0.0,,0.0,0.0,0.0,,,20.0,NE-E
1983-05-05,05.05,1983,1,0.0,,0.0,0.0,0.0,,,20.0,SW-N
1983-05-06,06.05,1983,1/2,0.0,,0.0,0.0,0.0,,,15.0,NE
1983-05-07,07.05,1983,1/2,0.0,,0.0,0.0,0.0,,,12.0,NE
1983-05-08,08.05,1983,0,3.0,,3.0,1.0,1.0,,,17.0,NE
1983-05-09,09.05,1983,1/2,0.0,,2.0,0.0,0.0,,,13.0,E
1983-05-10,10.05,1983,1,0.0,,0.0,0.0,0.0,,,10.0,E
1983-05-11,11.05,1983,1/4,6.0,,3.0,1.0,3.0,,,10.0,E
1983-05-12,12.05,1983,1/2,3.0,,3.0,0.0,0.0,,,13.0,W
1983-05-13,13.05,1983,1/2,0.0,,3.0,0.0,1.0,,,,S-NW
1983-05-14,14.05,1983,1/2,1.0,,0.0,1.0,1.0,,,12.0,NW
1983-05-15,15.05,1983,3/4,0.0,,0.0,0.0,0.0,,,12.0,NE
1983-05-16,16.05,1983,1/4,2.0,,0.0,1.0,1.0,,,12.0,E
1983-05-17,17.05,1983,0,0.0,,2.0,0.0,2.0,,,,S-SE-W
1983-05-18,18.05,1983,1/4,0.0,,1.0,0.0,0.0,,,,E
1983-05-19,19.05,1983,1,0.0,,0.0,0.0,0.0,,,,NW-NE
1983-05-20,20.05,1983,1/2,0.0,,0.0,0.0,0.0,,,,W
1983-05-21,21.05,1983,1/2,0.0,,0.0,0.0,0.0,,,,SE-E
1983-05-22,22.05,1983,1/2,0.0,,0.0,0.0,0.0,,,,E
1983-05-23,23.05,1983,1/2,0.0,,0.0,0.0,0.0,,,,W-N
1983-05-24,24.05,1983,0,0.0,,2.0,0.0,1.0,,,,NE
1983-05-25,25.05,1983,1/2,1.0,,0.0,1.0,0.0,,,,NE
1983-05-26,26.05,1983,1,0.0,,0.0,0.0,0.0,,,,SW
1983-05-27,27.05,1983,,0.0,,0.0,0.0,0.0,,,,
1983-07-01,01.07,1983,,,,,,,,,15.0,
1983-07-02,02.07,1983,,,,,,,,,17.0,
1983-07-03,03.07,1983,,,,,,,,,24.0,
1983-07-04,04.07,1983,,,,,,,,,16.0,
1983-07-05,05.07,1983,,,,,,,,,18.0,
1983-07-06,06.07,1983,,,,,,,,,17.0,
1983-07-07,07.07,1983,,,,,,,,,18.0,
1983-07-08,08.07,1983,,,,,,,,,17.0,
1983-07-09,09.07,1983,,,,,,,,,18.0,
1983-07-10,10.07,1983,,,,,,,,,21.0,
1983-07-11,11.07,1983,,,,,,,,,24.0,
1983-07-12,12.07,1983,,,,,,,,,30.0,
1983-07-13,13.07,1983,,,,,,,,,28.0,
1983-07-14,14.07,1983,,,,,,,,,29.0,
1983-07-15,15.07,1983,,,,,,,,,32.0,
1983-07-16,16.07,1983,,,,,,,,,32.0,
1983-07-17,17.07,1983,,,,,,,,,31.0,
1983-07-18,18.07,1983,,,,,,,,,25.0,
1983-07-19,19.07,1983,,,,,,,,,22.0,
1983-07-20,20.07,1983,,,,,,,,,23.0,
1983-07-21,21.07,1983,,,,,,,,,23.0,
1983-07-22,22.07,1983,,,,,,,,,22.0,
1983-07-23,23.07,1983,,,,,,,,,23.0,
1983-07-24,24.07,1983,,,,,,,,,24.0,
1983-08-17,17.08,1983,1/2,0.0,,3.0,0.0,1.0,,,,W
1983-08-18,18.08,1983,0,1.0,,1.0,0.0,0.0,,,,W
1983-08-19,19.08,1983,0,0.0,,0.0,1.0,2.0,,,,W
1983-08-20,20.08,1983,0,0.0,,1.0,1.0,1.0,,,,N-NW
1983-08-21,21.08,1983,0,4.0,,4.0,2.0,2.0,,,,NE
1983-08-22,22.08,1983,0,1.0,,0.0,0.0,7.0,,,,E-NE
1983-08-23,23.08,1983,0,1.0,,1.0,1.0,5.0,,,,SE-E
1983-08-24,24.08,1983,1/4,1.0,,1.0,0.0,0.0,,,,SW-N
1983-08-25,25.08,1983,0,0.0,,0.0,0.0,1.0,,,,NE-NW
1983-08-26,26.08,1983,1/2,0.0,,0.0,0.0,0.0,,,,N-NW-W
1983-08-27,27.08,1983,1/4,0.0,,0.0,0.0,1.0,,,,W-SW
1983-08-28,28.08,1983,1/2,0.0,,0.0,0.0,0.0,,,,W-SW
1983-08-29,29.08,1983,0,0.0,,0.0,0.0,0.0,,,,NW
1983-08-30,30.08,1983,0,0.0,,0.0,0.0,0.0,,,,SW
1983-08-31,31.08,1983,0,1.0,,0.0,0.0,0.0,,,,SW
1983-09-01,01.09,1983,1,,,2.0,0.0,1.0,,,,SE-NE
1983-09-02,02.09,1983,1/4,,,2.0,,2.0,,,,SE
1983-09-03,03.09,1983,1/2,,,0.0,,0.0,,,,S
1983-09-04,04.09,1983,1,,,0.0,,0.0,,,,SW
1983-09-05,05.09,1983,1/2,,,0.0,,0.0,,,,SW
1983-09-06,06.09,1983,1,,,0.0,,0.0,,,,SW
1983-09-07,07.09,1983,1,,,0.0,,0.0,,,,SW
1983-09-08,08.09,1983,1/2,,,0.0,,0.0,,,,SW
1983-09-09,09.09,1983,1/2,,,0.0,,0.0,,,,SW
1983-09-10,10.09,1983,1/2,,,0.0,,0.0,,,,SW-NE
1983-09-11,11.09,1983,1/2,,,0.0,,0.0,,,,E
1983-09-12,12.09,1983,1/2,,0.0,0.0,,0.0,,,,SW-E
1983-09-13,13.09,1983,1/2,,0.0,0.0,,0.0,,,,SW
1983-09-14,14.09,1983,1/4,,0.0,0.0,,0.0,,,,SW
1983-09-15,15.09,1983,1/2,,0.0,0.0,,0.0,,,,SW
1983-09-16,16.09,1983,1/2,,0.0,0.0,,0.0,,,,SE-S
1983-09-17,17.09,1983,3/4,,0.0,0.0,,0.0,,,,SE-S-SW
1983-09-18,18.09,1983,1/2,,0.0,0.0,,0.0,,,,SW
1983-09-19,19.09,1983,1/2,,0.0,0.0,,0.0,,,,SW
