datetime;Day;Year;Cloud;L-1;L-2;L-3;L-4;L-5;L-7;L-8;Temp;Wind
01.04.1982;1.04;1982;0;;;;;;;;;W
02.04.1982;2.04;1982;0;;;;;;;;;W
03.04.1982;3.04;1982;01. Feb;;;;;;;;;NE-E
04.04.1982;4.04;1982;01. Feb;;;;;;;;;W-NW
05.04.1982;5.04;1982;0;;;;;;;;;NW-W
06.04.1982;6.04;1982;01. Feb;;;;;;;;;N-NW
07.04.1982;7.04;1982;01. Feb;;;;;;;;;E
08.04.1982;8.04;1982;1;;;;;;;;;SE-S-W
09.04.1982;9.04;1982;01. Feb;;;;;;;;;W-SW
10.04.1982;10.04;1982;01. Feb;;;;;;;;;W-SW
11.04.1982;11.04;1982;01. Feb;;;;;;;;;W-SW
12.04.1982;12.04;1982;03. Apr;;;;;;;;;W
13.04.1982;13.04;1982;01. Feb;;;;;;;;;W-NW
14.04.1982;14.04;1982;01. Apr;;;;;;;;;NW
15.04.1982;15.04;1982;1;;;;;;;;;SW
16.04.1982;16.04;1982;01. Feb;;;;;;;;;SW
17.04.1982;17.04;1982;1;;;;;;;;;SW-W
18.04.1982;18.04;1982;01. Feb;;;;;;;;;NW-N
19.04.1982;19.04;1982;1;;;;;;;;;NW
20.04.1982;20.04;1982;01. Feb;;;;;;;;;NW-N
21.04.1982;21.04;1982;01. Feb;;;;;;;;;NW-N
22.04.1982;22.04;1982;0;;;;;;;;;NW-N
23.04.1982;23.04;1982;0;;;;;;;;;NE-NW
24.04.1982;24.04;1982;01. Feb;;;;;;;;;NW
25.04.1982;25.04;1982;01. Feb;;;;;;;;;N-NW
26.04.1982;26.04;1982;03. Apr;;;;;;;;;NW
27.04.1982;27.04;1982;01. Feb;;;;;;;;;NW
28.04.1982;28.04;1982;01. Feb;;;;;;;;;SW
29.04.1982;29.04;1982;01. Feb;;;;;;;;;W-SW
30.04.1982;30.04;1982;01. Feb;;;;;;;;;S-SW-NW
01.05.1982;1.05;1982;01. Feb;;;;;;;;;SW-S
02.05.1982;2.05;1982;01. Feb;;;;;;;;;W-NW
03.05.1982;3.05;1982;01. Feb;;;;;;;;;SW-SE
04.05.1982;4.05;1982;01. Feb;0;;0;0;0;;;;SW-SE
05.05.1982;5.05;1982;01. Feb;0;;0;0;0;;;;NE
06.05.1982;6.05;1982;03. Apr;0;;0;0;0;;;;SE-W
07.05.1982;7.05;1982;1;0;;0;0;0;;;;NW
08.05.1982;8.05;1982;0;0;;0;0;0;;;;SW
09.05.1982;9.05;1982;1;0;;0;0;0;;;;SE-NE
10.05.1982;10.05;1982;01. Feb;0;;0;0;0;;;;NNE-N
11.05.1982;11.05;1982;1;0;;0;0;0;;;;NNE
12.05.1982;12.05;1982;01. Apr;0;;0;0;0;;;;N-NW
13.05.1982;13.05;1982;01. Feb;0;;0;0;0;;;;W-NW
14.05.1982;14.05;1982;0;0;;0;0;0;;;;NW
15.05.1982;15.05;1982;0;0;;0;0;0;;;;N-NW
16.05.1982;16.05;1982;0;0;;0;0;0;;;;W
30.06.1982;30.06;1982;;0;;0;0;0;;;;
01.07.1982;1.07;1982;01. Feb;0;;0;0;0;;;;W
02.07.1982;2.07;1982;01. Feb;0;;0;0;0;;;;W
03.07.1982;3.07;1982;01. Feb;0;;0;0;0;;;;E
04.07.1982;4.07;1982;03. Apr;0;;0;0;0;;;;W
05.07.1982;5.07;1982;01. Apr;0;;0;0;0;;;;W
06.07.1982;6.07;1982;01. Feb;0;;0;0;0;;;;W
07.07.1982;7.07;1982;01. Feb;0;;0;0;0;;;;W
08.07.1982;8.07;1982;03. Apr;0;;0;0;0;;;;W
09.07.1982;9.07;1982;0;0;;0;0;0;;;;W-NW
10.07.1982;10.07;1982;0;0;;0;0;0;;;;W-NW
11.07.1982;11.07;1982;0;0;;0;0;0;;;;N-NW
12.07.1982;12.07;1982;0;0;;0;0;0;;;;E
13.07.1982;13.07;1982;01. Apr;0;;0;0;0;;;;E-N-NW
14.07.1982;14.07;1982;01. Feb;0;;0;0;0;;;;E-NE
15.07.1982;15.07;1982;0;0;;0;0;0;;;;E-NE
16.07.1982;16.07;1982;0;0;;0;0;0;;;;E-NE
17.07.1982;17.07;1982;01. Apr;0;;0;0;0;;;;E-NE
18.07.1982;18.07;1982;01. Feb;0;;0;0;0;;;;N-NW
19.07.1982;19.07;1982;0;0;;0;0;0;;;;NW
20.07.1982;20.07;1982;0;0;;0;0;0;;;;NW
21.07.1982;21.07;1982;0;0;;0;0;0;;;;W
22.07.1982;22.07;1982;01. Feb;0;;0;0;0;;;;NW-W
23.07.1982;23.07;1982;0;0;;0;0;0;;;;W
24.07.1982;24.07;1982;0;0;;0;0;0;;;;W-NW
01.04.1983;1.04;1983;1;;;;;;;;6;N-NE
02.04.1983;2.04;1983;1;;;;;;;;11;NE
03.04.1983;3.04;1983;01. Feb;;;;;;;;12;NE-S
04.04.1983;4.04;1983;1;;;;;;;;6;SW-W
05.04.1983;5.04;1983;1;;;;;;;;10;N-SW
06.04.1983;6.04;1983;0;;;;;;;;10;SE
07.04.1983;7.04;1983;01. Feb;;;;;;;;10;SE-S
08.04.1983;8.04;1983;01. Feb;0;;0;0;0;;;8;SW-W
09.04.1983;9.04;1983;1;0;;0;0;0;;;4;W
10.04.1983;10.04;1983;0;0;;0;0;0;;;6;W
11.04.1983;11.04;1983;1;0;;0;0;0;;;4;E-S
12.04.1983;12.04;1983;1;0;;0;0;0;;;5;NE-N
13.04.1983;13.04;1983;03. Apr;0;;0;0;0;;;6;NW
14.04.1983;14.04;1983;1;0;;0;0;0;;;5;NW
15.04.1983;15.04;1983;03. Apr;0;;0;0;0;;;6;N
16.04.1983;16.04;1983;0;0;;0;0;0;;;10;N-NW
17.04.1983;17.04;1983;0;0;;0;0;0;;;8;SE
18.04.1983;18.04;1983;01. Feb;0;;0;0;0;;;7;SE-E
19.04.1983;19.04;1983;0;0;;0;0;0;;;6;SE
20.04.1983;20.04;1983;01. Feb;0;;0;0;0;;;7;SE-W
21.04.1983;21.04;1983;0;0;;0;0;0;;;6;W-NW
22.04.1983;22.04;1983;01. Feb;0;;0;0;0;;;8;NE-E
23.04.1983;23.04;1983;1;0;;0;0;0;;;10;NW
24.04.1983;24.04;1983;1;0;;0;0;0;;;9;NW-NE
25.04.1983;25.04;1983;01. Feb;0;;0;0;0;;;8;NE
26.04.1983;26.04;1983;1;0;;0;0;0;;;6;W
27.04.1983;27.04;1983;03. Apr;0;;0;0;0;;;7;NE
28.04.1983;28.04;1983;01. Feb;0;;0;0;0;;;9;SW-W
29.04.1983;29.04;1983;01. Apr;0;;0;0;0;;;10;SW-NE
30.04.1983;30.04;1983;01. Feb;0;;0;0;0;;;8;SW-NW
01.05.1983;1.05;1983;03. Apr;0;;0;0;0;;;12;SW-NW
02.05.1983;2.05;1983;01. Feb;0;;0;0;0;;;8;NE-NW
03.05.1983;3.05;1983;01. Apr;0;;0;0;0;;;12;NE-NW
04.05.1983;4.05;1983;01. Feb;0;;0;0;0;;;20;NE-E
05.05.1983;5.05;1983;1;0;;0;0;0;;;20;SW-N
06.05.1983;6.05;1983;01. Feb;0;;0;0;0;;;15;NE
07.05.1983;7.05;1983;01. Feb;0;;0;0;0;;;12;NE
08.05.1983;8.05;1983;0;0;;0;0;0;;;17;NE
09.05.1983;9.05;1983;01. Feb;0;;0;0;0;;;13;E
10.05.1983;10.05;1983;1;0;;0;0;0;;;10;E
11.05.1983;11.05;1983;01. Apr;0;;0;0;0;;;10;E
12.05.1983;12.05;1983;01. Feb;0;;0;0;0;;;13;W
13.05.1983;13.05;1983;01. Feb;0;;0;0;0;;;;S-NW
14.05.1983;14.05;1983;01. Feb;0;;0;0;0;;;12;NW
15.05.1983;15.05;1983;03. Apr;0;;0;0;0;;;12;NE
16.05.1983;16.05;1983;01. Apr;0;;0;0;0;;;12;E
17.05.1983;17.05;1983;0;0;;0;0;0;;;;S-SE-W
18.05.1983;18.05;1983;01. Apr;0;;0;0;1;;;;E
19.05.1983;19.05;1983;1;0;;0;0;0;;;;NW-NE
